MPA,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Fish_Family,Abundance,Abundance_SE,Biomass,Biomass_SE
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Siganidae,106.667,26.667,21.405,8.171
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,Acanthuridae,293.333,58.119,69.241,9.259
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,Lutjanidae,230,150.886,92.855,62.661
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,Scaridae,185,22.174,50.26,8.789
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,Serranidae,43.333,20.276,15.346,5.25
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,Siganidae,290,210,36.085,29.349
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Acanthuridae,173.333,93.333,47.023,32.316
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Haemulidae,80,NA,57.233,NA
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Lutjanidae,96,46.648,28.653,14.998
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Scaridae,156,52.402,84.936,34.988
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Serranidae,84,20.149,29.878,11.679
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,Siganidae,280,151.438,88.563,52.483
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,Acanthuridae,448,58.515,66.348,14.061
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,Haemulidae,80,40,130.301,96.097
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,Scaridae,540,112.916,248.068,48.247
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,Serranidae,164,58.361,152.73,39.093
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,Siganidae,160,0,45.335,8.715
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Acanthuridae,490,147.716,170.674,67.766
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Haemulidae,40,25.1,72.013,42.721
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Lutjanidae,110,44.535,68.034,27.64
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Scaridae,392,51.323,78.033,15.857
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Serranidae,205,55,113.828,53.235
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,Siganidae,133.333,58.119,21.343,12.001
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Acanthuridae,3066.667,742.369,1293.523,247.602
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Haemulidae,54,27.313,222.746,126.285
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Lutjanidae,468,109.791,230.156,54.581
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Scaridae,682,377.312,581.684,403.993
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Serranidae,122,21.541,57.354,9.302
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,Siganidae,186.667,106.667,54.12,36.51
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Acanthuridae,1006.667,289.904,802.032,262.247
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Haemulidae,212,51.127,282.573,75.994
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Lutjanidae,932.5,505.344,617.345,384.488
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Scaridae,1150,753.943,672.838,414.392
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Serranidae,184,69.757,184.862,90.888
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,Siganidae,160,NA,13.574,NA
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Acanthuridae,3685,3115,1187.515,852.758
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Haemulidae,75,25,280.756,101.37
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Lutjanidae,370,62.29,192.34,28.667
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Scaridae,340,155.349,117.726,43.099
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Serranidae,50,17.321,24.255,4.408
Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,Siganidae,400,244.404,97.351,75.57
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Acanthuridae,808,318.848,254.463,127.196
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Haemulidae,43.333,20.276,52.781,36.21
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Lutjanidae,333.333,150.259,101.867,48.445
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Scaridae,336,68.819,115.146,23.586
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Serranidae,45,5,121.592,111.76
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,Siganidae,140,60,24.345,11.53
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,Haemulidae,30,20,28.729,17.484
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,Lutjanidae,114,30.919,43.728,12.369
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,Scaridae,110,NA,103.501,NA
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,Serranidae,160,45.607,56.196,20.861
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,Siganidae,80,NA,12.25,NA
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Acanthuridae,120,0,22.503,7.795
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Haemulidae,30,10,20.066,5.639
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Lutjanidae,296,78.588,84.732,19.46
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Scaridae,345,136.29,402.124,233.017
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Serranidae,150,50,24.073,12.244
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,Siganidae,93.333,13.333,12.153,3.712
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2014,-1.18,129.97,NTZ,Acanthuridae,110,41.231,34.336,12.599
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2014,-1.18,129.97,NTZ,Lutjanidae,706,139.7,262.982,73.127
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2014,-1.18,129.97,NTZ,Scaridae,312,114.123,84.704,35.801
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2014,-1.18,129.97,NTZ,Serranidae,82.5,24.622,25.791,7.55
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2014,-1.18,129.97,NTZ,Siganidae,160,46.188,13.868,4.207
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Acanthuridae,1026.667,612.028,383.405,300.892
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Haemulidae,40,NA,15.6,NA
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Lutjanidae,1352,448.714,379.01,93.231
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Scaridae,798,350.919,706.651,588.601
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Serranidae,92.5,20.565,22.921,7.763
Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2016,-1.18,129.97,NTZ,Siganidae,180,75.719,29.158,17.863
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Acanthuridae,448,85.229,81.585,37.226
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Haemulidae,60,20,16.221,6.066
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Lutjanidae,312,150.944,69.511,38.794
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Scaridae,500,217.562,225.395,79.107
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Serranidae,270,77.244,41.962,12.932
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2009,-1.2,129.94,NTZ,Siganidae,40,0,13.237,1.199
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2010,-1.2,129.94,NTZ,Acanthuridae,328,94.149,27.196,9.696
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2010,-1.2,129.94,NTZ,Lutjanidae,202,62.881,103.872,33.66
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2010,-1.2,129.94,NTZ,Scaridae,140,60,34.222,22.852
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2010,-1.2,129.94,NTZ,Serranidae,404,149.953,51.854,11.881
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2010,-1.2,129.94,NTZ,Siganidae,80,NA,24.448,NA
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Acanthuridae,240,161.658,87.012,63.146
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Haemulidae,50,0,50.088,6.669
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Lutjanidae,536,106.047,215.42,61.414
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Scaridae,460,155.349,152.631,81.052
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Serranidae,124,25.612,59.274,25.346
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2011,-1.2,129.94,NTZ,Siganidae,80,0,7.852,1.552
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,Acanthuridae,333.333,141.107,128.513,71.212
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,Lutjanidae,780,408.02,374.58,192.489
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,Scaridae,242,45.651,72.603,11.823
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,Serranidae,120,35.777,28.786,8.164
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,Siganidae,80,0,6.3,0
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,Acanthuridae,270,61.914,108.843,18.842
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,Haemulidae,20,5.774,23.61,7.79
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,Lutjanidae,366,105.148,141.104,42.419
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,Scaridae,346,82.922,135.649,26.31
Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,Serranidae,142,43.174,65.056,20.171
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,Acanthuridae,450,67.971,70.306,23.776
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,Lutjanidae,616,296.27,121.69,58.596
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,Scaridae,376,89.978,143.162,40.121
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,Serranidae,162,26.153,28.406,9.544
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,Siganidae,160,40,62.9,9.087
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,Acanthuridae,120,0,26.584,0.535
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,Lutjanidae,1150,718.587,198.297,111.912
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,Scaridae,60,30.551,56.012,27.697
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,Serranidae,146,18.868,35.51,8.132
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,Siganidae,120,23.094,23.272,7.746
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Acanthuridae,280,NA,37.1,NA
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Haemulidae,90,NA,64.596,NA
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Lutjanidae,320,74.833,69.138,15.763
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Scaridae,504,78.588,89.645,30.963
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Serranidae,106.667,35.277,32.618,12.707
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,Siganidae,80,0,13.304,2.909
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Acanthuridae,733.333,593.446,317.782,288.14
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Haemulidae,52.5,24.958,95.822,54.018
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Lutjanidae,362.5,65.368,163.428,42.819
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Scaridae,268,45.76,79.071,12.538
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Serranidae,97.5,14.361,36.399,3.938
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,Siganidae,106.667,26.667,9.593,2.128
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Acanthuridae,160,40,97.27,80.014
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Haemulidae,40,0,22.673,11.53
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Lutjanidae,1240,670.124,101.759,55.629
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Scaridae,153.333,83.533,54.852,5.683
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Serranidae,60,20,12.061,2.409
Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,Siganidae,253.333,58.119,21.489,4.691
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,Acanthuridae,344,96,98.428,42.939
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,Lutjanidae,82.5,25.941,11.962,6.416
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,Scaridae,66.667,26.667,18.475,11.1
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,Serranidae,280,28.284,40.542,2.83
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,Siganidae,100,60,41.205,23.267
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,Acanthuridae,136,44.9,37.954,9.678
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,Lutjanidae,70,13.784,31.665,8.291
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,Scaridae,104,24,44.704,6.909
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,Serranidae,256,41.183,55.316,11.759
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,Siganidae,80,NA,34.562,NA
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,Haemulidae,10,NA,105.417,NA
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,Lutjanidae,66.667,13.333,18.356,1.677
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,Scaridae,200,67.33,55.728,18.38
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,Serranidae,210,84.261,47.989,18.97
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,Siganidae,80,0,8.91,1.283
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,Acanthuridae,80,NA,35.193,NA
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,Lutjanidae,70,10,23.715,2.006
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,Scaridae,60,20,20.706,6.447
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,Serranidae,272,55.714,65.701,14.914
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,Siganidae,80,NA,9.404,NA
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2016,-1.25,129.83,Use,Lutjanidae,80,23.094,15.103,2.352
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2016,-1.25,129.83,Use,Scaridae,88,38.781,20.082,5.294
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2016,-1.25,129.83,Use,Serranidae,144,27.129,27.427,6.207
Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2016,-1.25,129.83,Use,Siganidae,40,NA,3.671,NA
Kofiau dan Pulau Boo Marine Protected Area,2211,Walo Bommoes,2010,-1.27,129.67,NTZ,Acanthuridae,435,15,236.672,160.771
Kofiau dan Pulau Boo Marine Protected Area,2211,Walo Bommoes,2010,-1.27,129.67,NTZ,Lutjanidae,335,45,147.012,13.73
